PlayerId,Frame,NodeName,NodePosX,NodePosY,NodePosZ
1,1019,Node_2,-10,0,-5
2,1688,Node_3,-10,0,-1
1,2058,Node_2,-10,0,-5
2,2191,Node_2,-10,0,-5
1,2539,Node_3,-10,0,-1
2,2693,Node_4,-6,0,-5
3,2837,Node_3,-10,0,-1
2,3342,Node_4,-6,0,-5
1,3505,Node_3,-10,0,-1
3,3565,Node_2,-10,0,-5
2,4077,Node_2,-10,0,-5
1,4221,Node_3,-10,0,-1
3,4281,Node_4,-6,0,-5
4,4514,Node_3,-10,0,-1
1,4780,Node_5,-10,0,2
2,4802,Node_3,-10,0,-1
3,5029,Node_2,-10,0,-5
4,5261,Node_2,-10,0,-5
2,5358,Node_5,-10,0,2
1,5515,Node_5,-10,0,2
3,5762,Node_3,-10,0,-1
2,5906,Node_1,-7,0,2
